,Year,Rk,Team,W,L,MOV,ORtg,DRtg,NRtg,FTr,3PAr,TS%,eFG%,TOV%,ORB%,DRB%,FT/FGA,Won Championship,Rounds Played
147,1999,2.0,Utah Jazz,37.0,13.0,6.52,105.8,98.4,7.4,0.417,0.107,0.545,0.485,16.0,30.0,70.4,0.32,0,2
148,1999,3.0,Portland Trail Blazers,35.0,15.0,6.36,104.8,97.7,7.1,0.341,0.171,0.521,0.473,14.5,31.8,71.8,0.253,0,0
149,1999,4.0,Miami Heat,33.0,17.0,4.96,104.7,98.9,5.8,0.354,0.226,0.54,0.494,15.3,27.3,71.0,0.26,0,1
150,1999,5.0,Indiana Pacers,33.0,17.0,3.74,108.7,104.4,4.3,0.318,0.207,0.537,0.486,12.8,28.7,69.9,0.253,0,3
151,1999,6.0,Detroit Pistons,29.0,21.0,3.42,104.2,100.3,3.9,0.345,0.183,0.528,0.48,15.6,30.5,72.0,0.256,0,1
152,1999,7.0,Atlanta Hawks,31.0,19.0,2.9,100.5,97.1,3.4,0.378,0.171,0.492,0.436,14.5,33.1,72.1,0.277,0,2
153,1999,8.0,Los Angeles Lakers,31.0,19.0,3.02,107.6,104.3,3.3,0.382,0.174,0.538,0.498,14.1,30.6,70.2,0.261,0,2
154,1999,9.0,Orlando Magic,33.0,17.0,2.6,100.3,97.4,2.9,0.318,0.171,0.498,0.456,15.4,32.6,70.8,0.222,0,1
155,1999,10.0,Houston Rockets,31.0,19.0,2.32,105.4,102.9,2.5,0.313,0.241,0.545,0.506,15.8,27.8,69.9,0.228,0,1
156,1999,11.0,Phoenix Suns,27.0,23.0,2.26,105.8,103.3,2.5,0.303,0.175,0.526,0.481,13.0,28.4,69.8,0.231,0,1
157,1999,12.0,Philadelphia 76ers,28.0,22.0,2.06,99.9,97.6,2.3,0.383,0.096,0.494,0.439,15.3,34.2,69.8,0.276,0,2
158,1999,13.0,Milwaukee Bucks,28.0,22.0,1.66,104.9,103.0,1.9,0.303,0.162,0.53,0.489,14.3,29.0,67.6,0.222,0,1
159,1999,14.0,New York Knicks,27.0,23.0,1.02,98.6,97.5,1.1,0.329,0.159,0.509,0.463,15.9,27.9,71.0,0.241,0,4
160,1999,15.0,Minnesota Timberwolves,25.0,25.0,0.38,101.9,101.5,0.4,0.264,0.095,0.481,0.439,11.7,32.5,70.2,0.196,0,1
161,1999,16.0,Charlotte Hornets,26.0,24.0,-0.1,102.3,102.4,-0.1,0.372,0.198,0.537,0.485,15.5,24.4,69.5,0.278,0,0
162,1999,17.0,Sacramento Kings,27.0,23.0,-0.42,102.7,103.1,-0.4,0.3,0.219,0.514,0.479,14.7,30.6,67.7,0.205,0,1
163,1999,18.0,Seattle SuperSonics,25.0,25.0,-1.08,105.0,106.2,-1.2,0.341,0.226,0.519,0.481,14.3,31.9,68.6,0.232,0,0
164,1999,19.0,Toronto Raptors,23.0,27.0,-1.64,102.0,103.9,-1.9,0.338,0.168,0.504,0.45,15.0,33.8,70.2,0.257,0,0
165,1999,20.0,Boston Celtics,19.0,31.0,-1.86,100.4,102.4,-2.0,0.259,0.182,0.501,0.469,14.8,30.6,69.4,0.179,0,0
166,1999,21.0,Cleveland Cavaliers,22.0,28.0,-1.72,99.6,101.6,-2.0,0.381,0.15,0.52,0.464,15.9,25.1,69.0,0.285,0,0
167,1999,22.0,Washington Wizards,18.0,32.0,-2.24,101.2,103.7,-2.5,0.302,0.146,0.507,0.468,14.1,28.2,69.5,0.213,0,0
168,1999,23.0,Dallas Mavericks,19.0,31.0,-2.4,102.3,104.9,-2.6,0.3,0.148,0.502,0.459,13.2,29.8,69.1,0.218,0,0
169,1999,24.0,Golden State Warriors,21.0,29.0,-2.5,98.4,101.1,-2.7,0.282,0.135,0.471,0.434,14.1,35.2,70.4,0.19,0,0
170,1999,25.0,New Jersey Nets,16.0,34.0,-3.78,99.5,103.6,-4.1,0.301,0.163,0.485,0.434,13.7,31.1,69.7,0.231,0,0
171,1999,26.0,Denver Nuggets,14.0,36.0,-6.6,103.1,110.4,-7.3,0.332,0.231,0.511,0.459,13.9,30.1,69.2,0.253,0,0
172,1999,27.0,Vancouver Grizzlies,8.0,42.0,-8.66,98.4,107.9,-9.5,0.367,0.118,0.498,0.447,16.0,30.9,66.9,0.263,0,0
